4.30,0.7587,581
2.05,0.0759,582
2.05,0.3550,4
1.65,0.1267,
,0.0028,659
1.85,0.1369,390
2.85,0.0088,330
1.00,0.1734,381
2.05,0.0051,660
1.60,1.0352,39
3.35,0.2114,373
1.45,0.0730,661
1.45,0.1090,310
1.45,0.3584,331
1.00,0.0106,362
1.45,0.1844,304
1.20,0.0643,662
1.20,0.0571,339
2.90,0.6430,587
4.60,0.6430,588
,,
4.45,0.0643,663
3.45,0.6430,6
1.20,0.6430,664
3.80,0.6430,590
1.70,0.2053,308
1.20,0.1155,380
2.20,0.1726,348
2.20,0.1725,300
5.30,0.6430,2
1.00,0.0643,
4.45,0.0643,591
2.40,0.1105,368
2.55,0.0110,338
3.70,0.1105,370
1.00,0.0090,383
3.45,0.5542,41
2.85,0.0669,203
1.00,1.1051,
3.75,5.6946,293
4.15,5.6946,292
1.25,0.1194,320
1.00,0.0963,323
1.00,0.0767,393
2.80,0.5695,294
2.20,0.1364,379
1.40,0.0599,333
2.20,0.0668,391
2.00,0.1286,317
1.80,0.0688,353
1.85,0.0620,397
1.80,0.0614,334
2.85,0.0796,665
2.00,0.0135,666
4.95,0.2114,374
4.30,0.1105,371
4.50,0.2114,667
4.50,0.7587,367
1.65,0.0362,595
1.20,0.0575,200
1.20,0.0377,216
1.85,0.7065,295
1.20,0.3022,301
1.60,0.0637,396
1.50,0.1583,309
1.40,0.1317,388
3.20,0.3272,280
5.30,0.3272,281
2.45,0.3272,7
3.80,0.3272,282
1.00,0.3272,363
1.40,0.2114,
2.85,0.2185,668
1.80,0.0803,40
3.80,0.0759,284
2.40,0.0834,16
2.40,0.4211,1
5.10,0.2114,377
1.45,0.0884,318
2.75,0.3333,539
2.50,0.3333,540
3.15,0.3333,592
5.30,0.3333,541
1.00,0.3333,593
2.50,0.3333,5
4.70,"0,3333",601
3.25,0.3333,372
3.15,0.4436,287
2.70,0.4436,285
2.45,0.4436,286
3.50,0.4436,8
3.30,0.4436,291
3.25,"0,0444",355
4.10,0.4436,289
3.70,0.0444,669
5.10,0.4436,288
3.70,0.4436,290
4.40,0.1105,369
,,670
1.85,0.1995,387
1.80,0.0008,342
2.20,0.0985,296
1.85,0.1326,321
1.45,0.3539,306
2.00,0.1394,325
1.65,0.2760,312
1.45,0.0696,392
1.00,0.1610,314
2.85,0.2114,376
1.80,0.0887,326
,,671
1.65,0.1129,313
1.20,0.0514,672
1.25,0.0782,389
1.20,0.1009,319
1.25,0.0380,673
1.25,0.0445,674
1.25,0.0689,675
1.45,0.0707,676
1.20,0.0436,677
1.60,0.5097,298
1.40,0.0092,
1.40,0.0078,
1.40,0.0101,
1.40,0.1481,316
1.40,0.0280,678
1.90,0.0572,394
2.25,0.3983,201
1.25,0.0483,679
1.65,0.1105,384
1.25,0.0518,586
1.25,0.0643,
1.60,0.0493,332
1.25,0.0022,680
1.65,1.0642,578
1.25,0.0619,681
1.45,0.2370,305
2.05,0.3337,594
4,0.0522,682
4,0.0062,683
4,0.0025,684
4,0.0068,685
1.60,0.1593,382
1.85,0.2711,302
1.25,0.0668,336
,,354
1.00,0.0889,315
,,
2.25,0.0250,46
1.25,0.0550,686
1.25,0.0225,687
0.20,0.2114,375
,,402
1.80,0.0095,
1.80,0.0685,
1.65,0.4133,299
1.00,0.0079,688
1.20,0.1718,311
3.30,0.1060,415
5.10,0.1060,416
4.60,0.1060,417
2.00,0.0930,327
2.20,0.1122,583
3.20,0.5542,359
3.20,0.5542,360
5.30,0.5542,361
3.20,0.5542,10
4.60,0.5542,412
4.60,0.5542,413
1.00,0.5542,414
1.90,0.0002,689
3.70,0.1060,279
3.05,0.7587,11
5.50,0.7587,364
4.40,0.7587,365
2.75,0.7587,366
1.00,0.7587,690
3.05,0.3272,283
